country,date,tempAvgMonth,temp,precipProb,precipIntens,hasBadPrecip,rate
Afghanistan,02.04.2018,9.87,23.03,0.0,0.0,0,
Aland Islands,02.04.2018,0.0,-0.58,0.0,0.0,0,
Albania,02.04.2018,10.47,13.36,0.0,0.0,0,
Algeria,02.04.2018,20.13,28.99,0.0,0.0,0,
American Samoa,02.04.2018,27.27,23.82,0.0,0.0,0,
Andorra,02.04.2018,11.13,10.22,0.0,0.0,0,
Angola,02.04.2018,22.53,27.78,0.0,0.0,0,
Anguilla,02.04.2018,23.67,27.85,0.0,0.0,0,
Antigua and Barbuda,02.04.2018,23.87,25.76,0.04,0.0305,1,
Argentina,02.04.2018,13.27,24.06,0.07,0.0508,1,
Armenia,02.04.2018,6.07,13.11,0.0,0.0,0,
Aruba,02.04.2018,24.53,30.11,0.0,0.0,0,
Australia,02.04.2018,21.4,14.82,0.03,0.0483,1,
Austria,02.04.2018,5.47,11.71,0.0,0.0,0,
Azerbaijan,02.04.2018,8.4,10.04,0.0,0.0,0,
Azores,02.04.2018,0.0,16.66,0.0,0.0,0,
Bahamas,02.04.2018,23.27,26.23,0.03,0.0305,1,
Bahrain,02.04.2018,24.93,25.87,0.0,0.0,0,
Balearic Islands,02.04.2018,0.0,17.09,0.0,0.0,0,
Bangladesh,02.04.2018,25.8,26.82,0.0,0.0,0,
Barbados,02.04.2018,24.07,28.58,0.03,0.0203,1,
Belarus,02.04.2018,3.53,1.61,0.15,0.1067,1,
Belgium,02.04.2018,6.87,11.92,0.23,0.1219,1,
Belize,02.04.2018,25.87,29.16,0.03,0.0152,1,
Benin,02.04.2018,28.67,28.84,0.0,0.0,0,
Bermuda,02.04.2018,18.07,21.71,0.0,0.0,0,
Bhutan,02.04.2018,13.87,7.64,0.0,0.0,0,
Bolivia,02.04.2018,19.2,16.21,0.02,0.0356,1,
Bonaire,02.04.2018,0.0,28.67,0.03,0.0203,1,
Bosnia and Herzegovina,02.04.2018,8.47,10.35,0.0,0.0,0,
Botswana,02.04.2018,19.93,23.03,0.0,0.0,0,
Bouvet Island,02.04.2018,0.0,-2.92,0.0,0.0,0,
Brazil,02.04.2018,23.93,24.8,0.2,0.6528,1,
Brunei,02.04.2018,25.67,25.74,0.05,0.0508,1,
Bulgaria,02.04.2018,8.8,9.59,0.0,0.0,0,
Burkina Faso,02.04.2018,29.6,37.63,0.0,0.0,0,
Burundi,02.04.2018,20.27,23.37,0.17,0.4191,1,
Cambodia,02.04.2018,27.67,27.18,0.0,0.0,0,
Cameroon,02.04.2018,25.87,24.46,0.06,0.1067,1,
Canada,02.04.2018,-8.8,1.85,0.0,0.0,0,
Canary Islands,02.04.2018,0.0,3.57,0.0,0.0,0,
Cape Verde,02.04.2018,20.93,19.2,0.0,0.0,0,
Cayman Islands,02.04.2018,24.93,27.63,0.03,0.0279,1,
Central African Republic,02.04.2018,25.6,27.63,0.14,0.4496,1,
Chad,02.04.2018,26.33,37.57,0.0,0.0,0,
Chile,02.04.2018,9.87,24.86,0.0,0.0,0,
China,02.04.2018,4.73,16.23,0.01,0.0076,1,
Christmas Island,02.04.2018,27.53,26.01,0.0,0.0,0,
Cocos Islands,02.04.2018,27.13,16.45,0.0,0.0,0,
Colombia,02.04.2018,24.4,15.76,0.29,1.6256,1,
Comoros,02.04.2018,27.47,27.53,0.13,0.0864,1,
Congo-Brazzaville,02.04.2018,24.27,28.67,0.3,0.5512,1,
Congo-Kinshasa,02.04.2018,23.0,28.72,0.27,0.541,1,
Cook Islands,02.04.2018,26.0,25.37,0.28,0.2108,1,
Costa Rica,02.04.2018,26.8,25.59,0.11,0.414,1,
Croatia,02.04.2018,8.53,15.16,0.0,0.0,0,
Cuba,02.04.2018,24.33,28.94,0.0,0.0,0,
Curacao,02.04.2018,0.0,29.88,0.03,0.0178,1,
Cyprus,02.04.2018,14.47,15.52,0.0,0.0,0,
Czech,02.04.2018,5.47,9.26,0.0,0.0,0,
Denmark,02.04.2018,3.53,3.98,0.0,0.0,0,
Djibouti,02.04.2018,26.07,26.07,0.07,0.0686,1,
Dominica,02.04.2018,24.0,26.22,0.24,0.3912,1,
Dominican Republic,02.04.2018,24.33,29.25,0.0,0.0,0,
Ecuador,02.04.2018,22.67,14.03,0.13,0.3454,1,
Egypt,02.04.2018,20.8,26.24,0.0,0.0,0,
El Salvador,02.04.2018,26.6,29.86,0.03,0.0203,1,
Equatorial Guinea,02.04.2018,25.0,27.49,0.5,1.0846,1,
Eritrea,02.04.2018,27.07,15.21,0.23,1.2395,1,
Estonia,02.04.2018,1.0,-0.57,0.19,0.1778,0,
Ethiopia,02.04.2018,24.73,17.54,0.07,0.2184,1,
Falkland Islands,02.04.2018,6.93,12.91,0.0,0.0,0,
Faroe Islands,02.04.2018,5.2,1.29,0.08,0.0279,0,
Fiji,02.04.2018,26.4,25.41,0.05,0.0152,1,
Finland,02.04.2018,-2.67,-1.27,0.2,0.1753,0,
France,02.04.2018,8.27,13.57,0.29,0.1753,1,
French Guiana,02.04.2018,26.2,28.87,0.29,0.3861,1,
French Polynesia,02.04.2018,26.87,26.13,0.08,0.0305,1,
French Southern Territories,02.04.2018,27.07,3.33,0.01,0.0203,1,
Gabon,02.04.2018,25.07,26.93,0.1,0.0838,1,
Gambia,02.04.2018,29.0,28.24,0.0,0.0,0,
Georgia,02.04.2018,6.93,11.54,0.0,0.0,0,
Germany,02.04.2018,5.33,7.2,0.0,0.0,0,
Ghana,02.04.2018,27.93,29.2,0.08,0.1346,1,
Gibraltar,02.04.2018,15.33,18.26,0.0,0.0,0,
Greece,02.04.2018,12.4,15.78,0.0,0.0,0,
Greenland,02.04.2018,-21.13,5.81,0.0,0.0,0,
Grenada,02.04.2018,24.8,28.28,0.04,0.0127,1,
Guadaloupe,02.04.2018,24.0,27.73,0.02,0.0305,1,
Guam,02.04.2018,25.93,25.73,0.43,0.7442,1,
Guatemala,02.04.2018,26.27,23.46,0.01,0.0203,1,
Guernsey,02.04.2018,8.07,10.85,0.51,0.2007,1,
Guinea,02.04.2018,27.8,27.28,0.5,1.0947,1,
Guinea-Bissau,02.04.2018,27.07,33.73,0.0,0.0,0,
Guyana,02.04.2018,26.73,26.59,0.36,0.7645,1,
Haiti,02.04.2018,24.73,28.07,0.37,0.9576,1,
Heard Island and McDonald Islands,02.04.2018,0.0,1.29,0.01,0.0254,0,
Honduras,02.04.2018,25.93,25.03,0.05,0.1372,1,
Hong Kong,02.04.2018,22.8,11.66,0.0,0.0,0,
Hungary,02.04.2018,6.6,2.45,0.42,0.5258,0,
Iceland,02.04.2018,0.07,26.96,0.0,0.0,0,
India,02.04.2018,24.33,18.61,0.0,0.0,0,
Indonesia,02.04.2018,26.67,22.94,0.0,0.0,0,
Iran,02.04.2018,15.6,7.87,1.0,0.2032,1,
Iraq,02.04.2018,16.73,6.87,0.0,0.0,0,
Ireland,02.04.2018,7.4,16.46,0.0,0.0,0,
Isle of Man,02.04.2018,6.4,13.21,0.0,0.0,0,
Israel,02.04.2018,16.8,32.99,0.03,0.0305,1,
Italy,02.04.2018,10.8,28.32,0.51,2.761,1,
Ivory Coast,02.04.2018,27.47,15.74,0.0,0.0,0,
Jamaica,02.04.2018,25.07,10.94,0.0,0.0,0,
Japan,02.04.2018,10.4,18.31,0.0,0.0,0,
Jersey,02.04.2018,8.07,-3.83,0.0,0.0,0,
Jordan,02.04.2018,17.0,19.12,0.02,0.0457,1,
Kazakhstan,02.04.2018,4.87,27.67,0.05,0.0508,1,
Kenya,02.04.2018,24.8,10.12,0.0,0.0,0,
Kiribati,02.04.2018,25.13,24.59,0.0,0.0,0,
Kosovo,02.04.2018,0.0,8.8,0.0,0.0,0,
Kuwait,02.04.2018,22.8,25.52,0.0,0.0,0,
Kyrgyzstan,02.04.2018,2.53,0.78,0.12,0.0635,0,
Laos,02.04.2018,26.0,18.82,0.0,0.0,0,
Latvia,02.04.2018,2.2,18.41,0.0,0.0,0,
Lebanon,02.04.2018,15.33,28.71,0.0,0.0,0,
Lesotho,02.04.2018,15.07,18.14,0.0,0.0,0,
Liberia,02.04.2018,26.6,9.36,0.0,0.0,0,
Libya,02.04.2018,20.2,0.78,0.12,0.0584,1,
Liechtenstein,02.04.2018,4.2,10.7,0.11,0.0991,1,
Lithuania,02.04.2018,3.53,27.88,0.0,0.0,0,
Luxembourg,02.04.2018,6.6,13.93,0.0,0.0,0,
Macao,02.04.2018,22.8,19.67,0.04,0.094,1,
Macedonia,02.04.2018,9.8,7.77,0.08,0.0356,1,
Madagascar,02.04.2018,24.13,21.4,0.0,0.0,0,
Madeira,02.04.2018,0.0,25.64,0.47,1.5367,1,
Malawi,02.04.2018,20.93,29.61,0.18,0.2591,1,
Malaysia,02.04.2018,26.07,38.12,0.0,0.0,0,
Maldives,02.04.2018,27.6,15.51,0.0,0.0,0,
Mali,02.04.2018,28.0,27.02,0.0,0.0,0,
Malta,02.04.2018,14.53,29.47,0.07,0.0508,1,
Marshall Islands,02.04.2018,25.87,23.84,0.0,0.0,0,
Martinique,02.04.2018,24.2,27.12,0.05,0.0229,1,
Mauritania,02.04.2018,25.53,27.01,0.0,0.0,0,
Mauritius,02.04.2018,25.53,22.63,0.01,0.0229,1,
Mayotte,02.04.2018,27.33,25.02,0.09,0.0991,1,
Mexico,02.04.2018,20.47,5.46,0.0,0.0,0,
Micronesia,02.04.2018,26.93,13.22,0.0,0.0,0,
Moldava,02.04.2018,7.4,-11.43,0.0,0.0,0,
Monaco,02.04.2018,9.13,14.23,0.0,0.0,0,
Mongolia,02.04.2018,-0.6,27.21,0.04,0.0254,1,
Montenegro,02.04.2018,8.87,17.26,0.0,0.0,0,
Montserrat,02.04.2018,24.0,26.01,0.0,0.0,0,
Morocco,02.04.2018,16.53,24.83,0.04,0.0559,1,
Mozambique,02.04.2018,22.8,11.13,0.0,0.0,0,
Myanmar,02.04.2018,24.67,20.02,0.01,0.0406,1,
Nagorno-Karabakh,02.04.2018,8.4,27.82,0.05,0.0457,1,
Namibia,02.04.2018,21.27,15.18,0.16,0.348,1,
Nauru,02.04.2018,26.2,9.92,0.41,0.1829,1,
Nepal,02.04.2018,12.6,23.68,0.05,0.0152,1,
Netherlands,02.04.2018,6.13,17.67,0.0,0.0,0,
New Caledonia,02.04.2018,25.27,31.2,0.0,0.0,0,
New Zealand,02.04.2018,12.87,38.95,0.0,0.0,0,
Nicaragua,02.04.2018,26.53,34.88,0.0,0.0,0,
Niger,02.04.2018,26.87,23.54,0.33,0.4699,1,
Nigeria,02.04.2018,27.67,21.29,0.03,0.0203,1,
Niue,02.04.2018,26.13,6.14,0.03,0.0203,1,
Norfolk Island,02.04.2018,21.0,3.73,1.0,4.097,1,
North Korea,02.04.2018,4.93,24.57,0.04,0.0279,1,
Northern Cyprus,02.04.2018,0.0,1.61,0.0,0.0,0,
Northern Mariana Islands,02.04.2018,25.8,28.0,0.0,0.0,0,
Norway,02.04.2018,-1.4,29.97,0.0,0.0,0,
Oman,02.04.2018,26.67,26.18,0.05,0.0432,1,
Pakistan,02.04.2018,16.2,14.88,0.0,0.0,0,
Palau,02.04.2018,27.13,31.28,0.0,0.0,0,
Palestine,02.04.2018,16.6,25.43,0.09,0.0838,1,
Panama,02.04.2018,26.33,29.28,0.0,0.0,0,
Papua New Guinea,02.04.2018,26.13,24.71,0.0,0.0,0,
Paraguay,02.04.2018,22.73,26.41,0.0,0.0,0,
Peru,02.04.2018,20.27,25.59,0.0,0.0,0,
Philippines,02.04.2018,26.73,5.68,0.0,0.0,0,
Pitcairn,02.04.2018,24.07,15.86,0.0,0.0,0,
Poland,02.04.2018,5.07,28.05,0.0,0.0,0,
Portugal,02.04.2018,13.27,26.1,0.0,0.0,0,
Puerto Rico,02.04.2018,24.0,26.68,0.11,0.1168,1,
Qatar,02.04.2018,26.0,11.99,0.0,0.0,0,
Reunion,02.04.2018,25.47,3.83,0.18,0.1143,1,
Romania,02.04.2018,7.4,18.93,0.24,1.1405,1,
Russia,02.04.2018,-8.67,28.66,0.03,0.0203,1,
Rwanda,02.04.2018,20.07,27.53,0.0,0.0,0,
Saba,02.04.2018,0.0,28.11,0.0,0.0,0,
Saint Barthelemy,02.04.2018,0.0,23.68,0.0,0.0,0,
Saint Eustatius,02.04.2018,0.0,28.34,0.01,0.0051,1,
Saint Helena,02.04.2018,23.27,28.58,0.03,0.0127,1,
Saint Kitts and Nevis,02.04.2018,23.6,8.53,0.0,0.0,0,
Saint Lucia,02.04.2018,24.2,27.59,0.0,0.0,0,
Saint Martin-Dutch,02.04.2018,0.0,1.51,0.0,0.0,0,
Saint Martin-French,02.04.2018,0.0,28.66,0.04,0.0127,1,
Saint Pierre and Miquelon,02.04.2018,0.0,23.89,0.0,0.0,0,
Saint Vincent and the Grenadines,02.04.2018,24.2,16.2,0.0,0.0,0,
Samoa,02.04.2018,27.27,26.27,0.22,0.2667,1,
San Marino,02.04.2018,9.2,27.92,0.0,0.0,0,
Sao Tome and Principe,02.04.2018,27.2,21.79,0.0,0.0,0,
Saudi Arabia,02.04.2018,23.6,12.18,0.0,0.0,0,
Senegal,02.04.2018,28.13,28.29,0.03,0.0102,1,
Serbia,02.04.2018,7.8,28.93,0.0,0.0,0,
Seychelles,02.04.2018,27.2,26.23,0.0,0.0,0,
Sierra Leone,02.04.2018,27.0,10.43,0.0,0.0,0,
Singapore,02.04.2018,27.27,11.41,0.0,0.0,0,
Slovakia,02.04.2018,5.67,25.13,0.28,0.32,1,
Slovenia,02.04.2018,6.73,28.14,0.0,0.0,0,
Solomon Islands,02.04.2018,27.4,23.23,0.07,0.2083,1,
Somalia,02.04.2018,26.87,20.49,0.07,0.1676,1,
Somaliland,02.04.2018,0.0,2.9,0.02,0.0457,1,
South Africa,02.04.2018,17.93,29.13,0.0,0.0,0,
South Georgia and the South Sandwich Islands,02.04.2018,0.0,26.56,0.2,0.5283,1,
South Korea,02.04.2018,9.0,17.56,0.04,0.0991,1,
South Sudan,02.04.2018,0.0,25.77,0.19,0.3937,1,
Spain,02.04.2018,12.4,32.84,0.0,0.0,0,
Sri Lanka,02.04.2018,28.13,25.04,0.39,0.8077,1,
Sudan,02.04.2018,26.6,-12.8,0.0,0.0,0,
Suriname,02.04.2018,26.73,22.5,0.03,0.0483,1,
Svalbard and Jan Mayen,02.04.2018,-14.6,1.7,0.0,0.0,0,
Swaziland,02.04.2018,18.13,9.91,0.0,0.0,0,
Sweden,02.04.2018,-1.13,18.37,0.0,0.0,0,
Switzerland,02.04.2018,5.0,20.23,0.11,0.0635,1,
Syria,02.04.2018,14.53,23.19,0.0,0.0,0,
Tahiti,02.04.2018,0.0,16.81,0.33,1.0236,1,
Taiwan,02.04.2018,22.07,23.05,0.0,0.0,0,
Tajikistan,02.04.2018,1.53,24.47,0.01,0.0076,1,
Tanzania,02.04.2018,21.8,26.54,0.0,0.0,0,
Thailand,02.04.2018,27.8,28.5,0.07,0.0559,1,
Timor-Leste,02.04.2018,27.6,27.87,0.14,0.1448,1,
Togo,02.04.2018,28.0,24.67,0.45,0.5207,1,
Tokelau,02.04.2018,27.47,30.26,0.0,0.0,0,
Tonga,02.04.2018,25.73,25.88,0.0,0.0,0,
Trinidad and Tobago,02.04.2018,25.33,7.34,0.0,0.0,0,
Tunisia,02.04.2018,16.33,12.89,0.0,0.0,0,
Turkey,02.04.2018,9.6,26.86,0.05,0.066,1,
Turkmenistan,02.04.2018,13.73,28.56,0.0,0.0,0,
Turks and Caicos Islands,02.04.2018,23.53,21.64,0.0,0.0,0,
Tuvalu,02.04.2018,27.13,3.01,0.07,0.0254,1,
Uganda,02.04.2018,22.2,26.38,0.0,0.0,0,
Ukraine,02.04.2018,6.47,10.81,0.0,0.0,0,
United Arab Emirates,02.04.2018,27.73,7.26,0.0,0.0,0,
United Kingdom,02.04.2018,6.47,21.92,0.06,0.0457,1,
United States,02.04.2018,4.27,12.99,0.0,0.0,0,
Uruguay,02.04.2018,19.0,24.94,0.11,0.033,1,
Uzbekistan,02.04.2018,10.4,13.04,0.0,0.0,0,
Vanuatu,02.04.2018,26.6,24.56,0.26,0.6045,1,
Vatican City,02.04.2018,0.0,22.71,0.0,0.0,0,
Venezuela,02.04.2018,26.0,26.91,0.0,0.0,0,
Vietnam,02.04.2018,25.4,27.56,0.0,0.0,0,
Virgin Islands-British,02.04.2018,23.8,27.97,0.27,0.4724,1,
Virgin Islands-US,02.04.2018,23.8,18.29,0.01,0.0305,1,
Wallis and Futuna,02.04.2018,27.27,21.86,0.0,0.0,0,
Yemen,02.04.2018,25.67,21.19,0.01,0.0457,1,
